Serial_Number,Schedule_Number,Depot_Code,Count,Depots
2878,1,4,4,4
5612,1,8,4,"4,8"
6130,1,33,4,"4,8,33"
6291,1,26,4,"4,8,33,26"
362,2,30,9,30
2898,2,4,9,"30,4"
2902,2,4,9,"30,4,4"
2936,2,4,9,"30,4,4,4"
2993,2,4,9,"30,4,4,4,4"
3234,2,33,9,"30,4,4,4,4,33"
3243,2,33,9,"30,4,4,4,4,33,33"
3247,2,4,9,"30,4,4,4,4,33,33,4"
3258,2,4,9,"30,4,4,4,4,33,33,4,4"
3663,2,4,9,"30,4,4,4,4,33,33,4,4,4"
4437,2,22,9,"30,4,4,4,4,33,33,4,4,4,22"
4622,2,16,9,"30,4,4,4,4,33,33,4,4,4,22,16"
6096,2,4,9,"30,4,4,4,4,33,33,4,4,4,22,16,4"
6277,4,8,1,8
6082,5,4,1,4
3473,8,4,2,4
3714,8,4,2,"4,4"
5498,9,16,1,16
1877,12,20,6,20
2396,12,20,6,"20,20"
2925,12,20,6,"20,20,20"
3669,12,4,6,"20,20,20,4"
5741,12,21,6,"20,20,20,4,21"
6118,12,33,6,"20,20,20,4,21,33"
3911,13,3,3,3
4385,13,4,3,"3,4"
4428,13,22,3,"3,4,22"
3914,14,3,2,3
4237,14,3,2,"3,3"
4533,16,2,1,2
2935,18,4,6,4
2967,18,4,6,"4,4"
3003,18,4,6,"4,4,4"
3465,18,4,6,"4,4,4,4"
3733,18,4,6,"4,4,4,4,4"
5479,18,4,6,"4,4,4,4,4,4"
3897,20,3,2,3
3917,20,3,2,"3,3"
3664,21,4,2,4
6095,21,4,2,"4,4"
3004,22,4,1,4
3870,23,4,1,4
2604,25,2,5,2
3225,25,4,5,"2,4"
3741,25,4,5,"2,4,4"
5472,25,8,5,"2,4,4,8"
6167,25,4,5,"2,4,4,8,4"
6093,26,4,1,4
2726,27,4,2,4
4514,27,2,2,"4,2"
6138,28,3,1,3
363,29,30,3,30
2733,29,2,3,"30,2"
3365,29,4,3,"30,2,4"
3239,31,33,1,33
2885,33,20,1,20
2514,34,20,2,20
2792,34,33,2,"20,33"
3532,35,3,2,3
5522,35,17,2,"3,17"
2468,36,20,5,20
2484,36,20,5,"20,20"
2972,36,4,5,"20,20,4"
3024,36,4,5,"20,20,4,4"
6226,36,20,5,"20,20,4,4,20"
2353,37,20,5,20
2651,37,4,5,"20,4"
3788,37,3,5,"20,4,3"
3916,37,3,5,"20,4,3,3"
4534,37,2,5,"20,4,3,3,2"
2421,43,20,3,20
2774,43,33,3,"20,33"
2797,43,20,3,"20,33,20"
3093,46,33,2,33
3094,46,33,2,"33,33"
4716,49,16,1,16
4719,50,16,1,16
3879,52,3,3,3
4715,52,16,3,"3,16"
5610,52,8,3,"3,16,8"
6237,55,3,2,3
6457,55,2,2,"3,2"
4723,56,16,2,16
4730,56,16,2,"16,16"
4768,58,16,1,16
4099,61,17,2,17
4258,61,17,2,"17,17"
3915,63,31,4,31
4251,63,17,4,"31,17"
4299,63,17,4,"31,17,17"
4747,63,16,4,"31,17,17,16"
4687,64,16,1,16
4828,66,16,1,16
3923,68,31,1,31
3885,74,3,3,3
4260,74,17,3,"3,17"
4265,74,17,3,"3,17,17"
4664,75,17,3,17
4665,75,17,3,"17,17"
4923,75,16,3,"17,17,16"
1869,77,8,4,8
3402,77,26,4,"8,26"
3408,77,26,4,"8,26,26"
4729,77,16,4,"8,26,26,16"
5959,78,8,2,8
5961,78,8,2,"8,8"
1978,80,8,6,8
2939,80,8,6,"8,8"
3424,80,26,6,"8,8,26"
