"Serial_Number","Schedule_Number","Depot_Code"
"1","285","11"
"2","291D","11"
"3","285","11"
"4","285K","11"
"5","285L","11"
"6","288D","11"
"7","279E","14"
"8","401","11"
"9","286D","11"
"10","MBS9","11"
"11","401E","11"
"12","284D","11"
"13","401B","11"
"14","MBS-6","11"
"15","402D","11"
"16","G-9","11"
"17","271E","11"
"18","288A","11"
"19","285H","11"
"20","402N","11"
"21","298PD","11"
"22","401A","11"
"23","290Z","11"
"24","282A","11"
"25","285A","11"
"26","282G","11"
"27","284C","11"
"28","288","11"
"29","297","11"
"30","283E","11"
"31","288C","11"
"32","284G","11"
"33","401D","11"
"34","401K","11"
"35","299","11"
"36","501A","11"
"37","276","11"
"38","269","11"
"39","290E","11"
"40","401J","11"
"41","290E","11"
"42","290E","11"
"43","291L","11"
"44","298MB","11"
"45","401B","11"
"46","401AC","11"
"47","290E","11"
"48","280","11"
"49","401B","11"
"50","500D","11"
"51","280A","11"
"52","280A","11"
"53","G-10","11"
"54","291D","11"
"55","290E","11"
"56","500D","11"
"57","285CA","11"
"58","356J","11"
"59","291D","11"
"60","401JC","11"
"61","G-9","11"
"62","501C","11"
"63","285MA","11"
"64","297A","11"
"65","284D","11"
"66","276","11"
"67","501C","11"
"68","501C","11"
"69","281F","11"
"70","288","11"
"71","284D","11"
"72","501A","11"
"73","284D","11"
"74","285ME","11"
"75","285MA","11"
"76","285Z","11"
"77","285P","11"
"78","501C","11"
"79","402D","11"
"80","402B","11"
"81","285M","11"
"82","285M","11"
"83","MBS-6","11"
"84","285M","11"
"85","291D","11"
"86","290E","11"
"87","281K","11"
"88","285M","11"
"89","285M","11"
"90","285M","11"
"91","285M","11"
"92","289AB","11"
"93","286D","11"
"94","289C","11"
"95","285J","11"
"96","298M","11"
"97","289K","11"
"98","286","11"
"99","285MA","11"
"100","282H","11"
"101","288H","11"
"102","289E","11"
"103","298P","11"
"104","402B","11"
"105","402B","11"
"106","402B","11"
"107","290T","11"
"108","298P","11"
"109","298P","11"
"110","404C","11"
"111","276","11"
"112","284D","11"
"113","401","11"
"114","284A","11"
"115","285B","11"
"116","284E","11"
"117","288A","11"
"118","284","11"
"119","288D","11"
"120","289A","11"
"121","285M","30"
"122","285MA","30"
"123","276","30"
"124","284A","30"
"125","285MA","30"
"126","401K","30"
"127","285M","30"
"128","285MA","30"
"129","402A","30"
"130","285M","30"
"131","276","30"
"132","501C","30"
"133","291D","30"
"134","401B","30"
"135","402D","30"
"136","290E","30"
"137","276","30"
"138","285MG","30"
"139","290E","30"
"140","276","30"
"141","501C","30"
"142","401B","30"
"143","276","30"
"144","288C","30"
"145","288H","30"
"146","401A","30"
"147","286","30"
"148","282B","30"
"149","282A","30"
"150","280A","30"
"151","280K","30"
"152","286G","30"
"153","288D","30"
"154","290E","11"
"155","298B","11"
"156","402B","11"
"157","286A","30"
"158","401","11"
"159","285MF","30"
"160","285MC","11"
"161","298P","11"
"162","298P","11"
"163","282C","30"
"164","281C","11"
"165","277","30"
"166","283","30"
"167","276A","30"
"168","CS-15","11"
"169","283B","30"
"170","271D","30"
"171","283A","30"
"172","271D","30"
"173","402M","30"
"174","286B","30"
"175","299E","30"
"176","298C","30"
"177","289","30"
"178","401R","30"
"179","282D","11"
"180","503","30"
"181","289Z","30"
"182","289B","30"
"183","407C","30"
"184","280E","30"
"185","290B","30"
"186","289M","30"
"187","298A","30"
"188","282F","30"
"189","285C","30"
"190","285MF","30"
"191","298MK","30"
"192","289L","30"
"193","266G","30"
"194","285D","30"
"195","298MH","30"
"196","297K","30"
"197","501L","30"
"198","285MA","30"
"199","276","30"
"200","276","30"
"201","281G","30"
"202","285MA","30"
"203","284D","30"
"204","285MA","30"
"205","285X","30"
"206","287C","30"
"207","401BK","30"
"208","289L","30"
"209","288","30"
"210","285JB","30"
"211","285W","30"
"212","298M","30"
"213","298E","30"
"214","285JA","30"
"215","285F","30"
"216","287JA","30"
"217","G-9","30"
"218","G-9","30"
"219","251B","30"
"220","G-9","30"
"221","288","30"
"222","276","30"
"223","280L","30"
"224","G-9","30"
"225","288H","30"
"226","G-9","30"
"227","G-10","30"
"228","298MA","30"
"229","BC-9","30"
"230","G-10","30"
"231","408","30"
"232","281","30"
"233","286H","30"
"234","289LA","30"
"235","404C","30"
"236","401","30"
"237","285N","30"
"238","401A","30"
"239","401B","30"
"240","401BK","30"
"241","266M","30"
"242","285CB","30"
"243","297G","30"
"244","266R","30"
"245","401AE","30"
"246","401","30"
"247","401AB","30"
"248","500G","30"
"249","285RB","30"
"250","285ME","30"
"251","285MA","30"
"252","400V","30"
"253","356J","30"
"254","285KA","30"
"255","365M","30"
"256","402D","11"
"257","285JC","30"
"258","285R","30"
"259","285MP","30"
"260","401K","30"
"261","298M","11"
"262","285MC","11"
"263","288E","11"
"264","276P","30"
"265","297F","30"
"266","280M","30"
"267","297H","30"
"268","285M","11"
"269","282B","11"
"270","290E","11"
"271","251G","30"
"272","290E","30"
"273","289E","11"
"274","291D","11"
"275","402B","11"
"276","280C","11"
"277","226MB","12"
"278","401K","12"
"279","298M","11"
"280","298M","11"
"281","285MK","11"
"282","407E","11"
"283","298M","11"
"284","284","11"
"285","298M","30"
"286","MBS-6","11"
"287","298M","11"
"288","298M","11"
"289","285MK","11"
"290","298M","11"
"291","298M","11"
"292","298M","11"
"293","298M","11"
"294","298M","11"
"295","298M","11"
"296","283D","11"
"297","285CC","11"
"298","298M","11"
"299","290E","11"
"300","276","11"
"301","402D","11"
"302","500AA","11"
"303","402B","11"
"304","500AA","11"
"305","285T","11"
"306","280F","11"
"307","280F","11"
"308","CS-35","11"
"309","284D","11"
"310","298MV","11"
"311","298M","11"
"312","253L","30"
"313","279E","30"
"314","284D","30"
"315","285m","30"
"316","285m","30"
"317","285V","30"
"318","285y","30"
"319","285AA","30"
"320","285RA","30"
"321","286A","30"
"322","286E","30"
"323","288D","30"
"324","289A","30"
"325","289P","30"
"326","297m","30"
"327","356J","30"
"328","401","30"
"329","401K","30"
"330","401Q","30"
"331","401R","30"
"332","401RA","30"
"333","402D","30"
"334","402G","30"
"335","402J","30"
"336","404J","30"
"337","407D","30"
"338","TR-9","30"
"339","TR-9","30"
"340","CS-26","30"
"341","401BC","30"
"342","BC-9B","30"
"343","285MC","30"
"344","298M","30"
"345","298md","30"
"346","285G","30"
"347","298L","30"
"348","298MG","30"
"349","298Y","30"
"350","284","30"
"351","500AA","30"
"352","401R","30"
"353","298M","11"
"354","298ME","11"
"355","285E","30"
"356","281A","30"
"357","298M","30"
"358","285MC","30"
"359","298M","30"
"360","276B","30"
"361","401","30"
"362","2","30"
"363","29","30"
"364","500A","14"
"365","288A","14"
"366","111","14"
"367","111","14"
"368","111","14"
"369","TR-3","14"
"370","TR-3","14"
"371","111C","14"
"372","TR-3","14"
"373","111C","14"
"374","114","14"
"375","114","14"
"376","176","14"
"377","111E","14"
"378","176","14"
"379","114","14"
"380","180","14"
"381","500DK","14"
"382","180","14"
"383","114A","14"
"384","114C","14"
"385","114C","14"
"386","415","14"
"387","114C","14"
"388","114C","14"
"389","176","14"
"390","176","14"
"391","176","14"
"392","114B","14"
"393","176","14"
"394","114D","14"
"395","176","14"
"396","176","14"
"397","114G","14"
"398","176","14"
"399","500DK","14"
"400","279E","14"
"401","501A","14"
"402","415B","14"
"403","415","14"
"404","278E","14"
"405","415","14"
"406","279","14"
"407","415b","14"
"408","415B","14"
"409","176","14"
"410","415G","14"
"411","501C","14"
"412","415F","14"
"413","415F","14"
"414","501A","14"
"415","176CA","14"
"416","111E","14"
"417","112A","14"
"418","112","14"
"419","112","14"
"420","300V","14"
"421","287P","14"
"422","500A","14"
"423","287B","14"
"424","287R","14"
"425","415D","14"
"426","500AB","14"
"427","87A","17"
"428","323C","41"
"429","317T","39"
"430","332","41"
"431","328E","41"
"432","322","29"
"433","289F","39"
"434","298P","39"
"435","328","41"
"436","325","41"
"437","317E","39"
"438","323F","41"
"439","306Q","29"
"440","323E","41"
"441","307C","29"
"442","308A","29"
"443","329C","41"
"444","308B","29"
"445","324E","41"
"446","311","29"
"447","329","41"
"448","311","29"
"449","327E","41"
"450","298P","39"
"451","317MA","39"
"452","381A","39"
"453","324A","41"
"454","323B","41"
"455","502B","41"
"456","328F","41"
"457","329M","41"
"458","329L","41"
"459","298PA","39"
"460","298PC","39"
"461","317G","39"
"462","298PB","39"
"463","322A","29"
"464","317M","39"
"465","317M","39"
"466","317D","39"
"467","300C","29"
"468","500-DK","14"
"469","317G","39"
"470","382M","39"
"471","280F","39"
"472","317K","39"
"473","305A","39"
"474","289F","39"
"475","317V","39"
"476","317V","39"
"477","346B","19"
"478","325","41"
"479","300E","29"
"480","346E","19"
"481","300F","29"
"482","300H","29"
"483","346D","19"
"484","289H","39"
"485","381G","39"
"486","326E","39"
"487","383A","39"
"488","399F","39"
"489","317W","39"
"490","382A","39"
"491","311K","29"
"492","317B","39"
"493","316V","39"
"494","380C","39"
"495","334E","39"
"496","334E","39"
"497","380C","39"
"498","319","39"
"499","313A","29"
"500","328H","39"
"501","350E","19"
"502","306J","29"
"503","313B","29"
"504","351A","19"
"505","340","38"
"506","313G","29"
"507","300E","24"
"508","350D","19"
"509","300H","29"
"510","317N","39"
"511","500D","29"
"512","317C","39"
"513","328H","39"
"514","300H","29"
"515","314A","29"
"516","500D","29"
"517","317YA","39"
"518","317M","39"
"519","314H","29"
"520","315","29"
"521","500D","29"
"522","334E","39"
"523","317Y","39"
"524","399A","39"
"525","315L","29"
"526","334E","39"
"527","300H","29"
"528","317SA","39"
"529","347G","19"
"530","326E","39"
"531","380E","39"
"532","315V","29"
"533","316D","29"
"534","300P","29"
"535","353B","19"
"536","317S","39"
"537","317R","39"
"538","316J","29"
"539","380Q","39"
"540","500D","29"
"541","316K","29"
"542","317TD","39"
"543","317YB","39"
"544","317Z","39"
"545","381J","39"
"546","357","19"
"547","301E","29"
"548","381K","39"
"549","360","19"
"550","346G","19"
"551","346K","19"
"552","346J","19"
"553","317V","39"
"554","340J","38"
"555","500D","29"
"556","360K","19"
"557","MKT-12HK","39"
"558","301E","29"
"559","MKT-12HK","39"
"560","301F","29"
"561","MKT-12HK","39"
"562","MKT-12HK","39"
"563","301R","29"
"564","340L","38"
"565","341B","38"
"566","302","29"
"567","362C","19"
"568","360K","19"
"569","346M","19"
"570","302F","29"
"571","303E","29"
"572","346N","19"
"573","304B","29"
"574","304F","29"
"575","346C","19"
"576","328HC","41"
"577","327G","41"
"578","329H","41"
"579","327B","41"
"580","323A","41"
"581","323","41"
"582","323J","41"
"583","323N","41"
"584","KBS-12HK","39"
"585","390","39"
"586","KBS-12HK","39"
"587","324","41"
"588","327A","41"
"589","381C","39"
"590","317G","39"
"591","323L","41"
"592","KBS-12HK","39"
"593","KBS-12HK","39"
"594","329A","41"
"595","381C","39"
"596","KBS-12HK","39"
"597","323G","41"
"598","381C","39"
"599","G-12","39"
"600","KBS-12HK","39"
"601","329B","41"
"602","KBS-12HK","39"
"603","KBS-12HK","39"
"604","329E","41"
"605","346F","19"
"606","304L","29"
"607","KBS-12HK","39"
"608","KBS-12HK","39"
"609","G-12","39"
"610","381C","39"
"611","12F-2","39"
"612","329F","41"
"613","381C","39"
"614","329G","41"
"615","G-12","39"
"616","12F-2","39"
"617","341C","38"
"618","380F","39"
"619","328H","41"
"620","G-12","39"
"621","334D","41"
"622","12F-3","39"
"623","304D","41"
"624","304","41"
"625","305D","41"
"626","360N","19"
"627","317J","39"
"628","341E","38"
"629","305D","41"
"630","305NT","39"
"631","12F-5","39"
"632","305D","41"
"633","306B","41"
"634","346CK","19"
"635","399A","39"
"636","380N","39"
"637","306T","41"
"638","12F-5","39"
"639","317Q","39"
"640","12F-5","39"
"641","12F-5","39"
"642","346CK","19"
"643","12F-1","39"
"644","12F-5","39"
"645","381C","39"
"646","306D","41"
"647","500DH","19"
"648","342G","38"
"649","320J","41"
"650","317QK","39"
"651","500D","29"
"652","320C","41"
"653","320E","41"
"654","317QK","39"
"655","319J","41"
"656","606","39"
"657","12F-1","39"
"658","12F-1","39"
"659","319G","41"
"660","306E","41"
"661","306E","41"
"662","304X","41"
"663","12F-1","39"
