route_no,src,dest
1,"Jayanagara 9th Block,JAYANAGARA 9TH BLOCK,BESIDE HOTEL SRI SAI","Jayanagara T Block,JAYANAGARA 4TH T BLOCK,BESIDE HDFC BANK"
1,"Jayanagara T Block,JAYANAGARA 4TH T BLOCK,BESIDE HDFC BANK","Jayanagara 18th Main,JAYANAGARA 4TH T BLOCK,OPPOSITE OF LAKSHMI AYURVEDIC CENTER"
1,"Jayanagara 18th Main,JAYANAGARA 4TH T BLOCK,OPPOSITE OF LAKSHMI AYURVEDIC CENTER","Church,JAYANAGARA 4TH T BLOCK,BESIDE POORNIMA CONVENTION"
1,"Church,JAYANAGARA 4TH T BLOCK,BESIDE POORNIMA CONVENTION","Jayanagara 4th Block,TTMC"
1,"Jayanagara 4th Block,TTMC","Jayanagara 3rd Block,JAYANAGARA 3RD BLOCK,OPPOSITE OF UTL TECHNOLOGIS"
1,"Jayanagara 3rd Block,JAYANAGARA 3RD BLOCK,OPPOSITE OF UTL TECHNOLOGIS","Madavan Park,JAYANAGARA 3RD BLOCK,OPPOSITE OF ORIENTAL INSUARENCE"
1,"Madavan Park,JAYANAGARA 3RD BLOCK,OPPOSITE OF ORIENTAL INSUARENCE","Southend Circle,BASAVANAGUDI,BESIDE GANDHARVA FAMILY BAR"
1,"Southend Circle,BASAVANAGUDI,BESIDE GANDHARVA FAMILY BAR","Nagasandra Circle,BASAVANAGUDI,BESIDE PROSPER PARK APPARTMENT"
1,"Nagasandra Circle,BASAVANAGUDI,BESIDE PROSPER PARK APPARTMENT","Netakallappa Circle,BASAVANAGUDI,OPPOSITE OF GURU RAGHAVENDRA BANK"
1,"Netakallappa Circle,BASAVANAGUDI,OPPOSITE OF GURU RAGHAVENDRA BANK","Basavanagudi Police Station,BASAVANAGUDI,BESIDE ACHIEVE SCHOOL OF EDUCATION"
1,"Basavanagudi Police Station,BASAVANAGUDI,BESIDE ACHIEVE SCHOOL OF EDUCATION","Gandhi Bazaar,BASAVANAGUDI,BESIDE ASHOKA PLAZA"
1,"Gandhi Bazaar,BASAVANAGUDI,BESIDE ASHOKA PLAZA","Ramakrishna Ashrama,GAVIPURAM EXTENTION,OPPOSITE OF STATE BANK OF INDIA"
1,"Ramakrishna Ashrama,GAVIPURAM EXTENTION,OPPOSITE OF STATE BANK OF INDIA","Bangalore High School,KEMPE GOWDA NAGARA,IN FRONT OF MORE MEGHA STORE"
1,"Bangalore High School,KEMPE GOWDA NAGARA,IN FRONT OF MORE MEGHA STORE","Chamarajapet,CHAMARAJA PETE,BESIDE VENKUS & CO. PETROL BUNK"
1,"Chamarajapet,CHAMARAJA PETE,BESIDE VENKUS & CO. PETROL BUNK",Makkalakoota
1,Makkalakoota,Krishnarajendra Market
1,Krishnarajendra Market,Veterinary Hospital
1,Veterinary Hospital,"Goodshed Road Gate,COTTONPET,BESIDE BALAGANGADHARANATHA SWAMYJI FREE HOSTEL SCHOOL"
1,"Goodshed Road Gate,COTTONPET,BESIDE BALAGANGADHARANATHA SWAMYJI FREE HOSTEL SCHOOL","Majestic,Opposite to City Railway Station"
1,"Majestic,Opposite to City Railway Station","Ananda Rao Circle,IN FRONT OF DIRECTOR OF MEDICAL EDUCATION"
1,"Ananda Rao Circle,IN FRONT OF DIRECTOR OF MEDICAL EDUCATION","Central,SHESHADRI PURAM,OPPOSITE TO HOTEL GREEN ARCHID"
1,"Central,SHESHADRI PURAM,OPPOSITE TO HOTEL GREEN ARCHID","Malleshwaram Circle,MALLESHWARAM,BESIDE R.R.GOLD PALACE"
1,"Malleshwaram Circle,MALLESHWARAM,BESIDE R.R.GOLD PALACE","Malleshwaram 8th Cross,MALLESHWARAM,BESIDE FLOWER MARKET"
1,"Malleshwaram 8th Cross,MALLESHWARAM,BESIDE FLOWER MARKET","Malleshwaram 15th Cross,MALLESHWARAM,BESIDE SAI MANDIR"
1,"Malleshwaram 15th Cross,MALLESHWARAM,BESIDE SAI MANDIR","Malleshwaram 18th Cross,MALLESHWARAM,BESIDE KARNATAKA EXAMINATION AUTHORITY"
1,"Malleshwaram 18th Cross,MALLESHWARAM,BESIDE KARNATAKA EXAMINATION AUTHORITY",Tata Institute
1,Tata Institute,Yeshawanthapura TTMC
1,Yeshawanthapura TTMC,"Govardhan Talkies,YESHAWANTHPURA,BESIDE BSNL OFFICE"
1,"Govardhan Talkies,YESHAWANTHPURA,BESIDE BSNL OFFICE",Yeshwanathapura new railway station
1E,"JPNagara 6th Phase,JP NAGARA 6TH PHASE,OPPOSITE OF THE BIG MARKET","JP Nagara 15th Cross,JP NAGARA 2ND PHASE,BESIDE CELL CITY"
1E,"JP Nagara 15th Cross,JP NAGARA 2ND PHASE,BESIDE CELL CITY","RVDental College,JP NAGARA 1ST PHASE,BESIDE R.V.COLLEGE"
1E,"RVDental College,JP NAGARA 1ST PHASE,BESIDE R.V.COLLEGE","Marenahalli,JP NAGARA 1ST PHASE,BESIDE 3M CAR CARE"
1E,"Marenahalli,JP NAGARA 1ST PHASE,BESIDE 3M CAR CARE","Jayanagara 5th Block,JAYANAGARA 5TH BLOCK,BESIDE AIR WAAVE"
1E,"Jayanagara 5th Block,JAYANAGARA 5TH BLOCK,BESIDE AIR WAAVE","Telephone Exchange,JAYANAGARA 4TH BLOCK,BESIDE BSNL OFFICE"
1E,"Telephone Exchange,JAYANAGARA 4TH BLOCK,BESIDE BSNL OFFICE","Jayanagara 4th Block,TTMC"
1E,"Jayanagara 4th Block,TTMC","Jayanagara 3rd Block,JAYANAGARA 3RD BLOCK,OPPOSITE OF UTL TECHNOLOGIS"
1E,"Jayanagara 3rd Block,JAYANAGARA 3RD BLOCK,OPPOSITE OF UTL TECHNOLOGIS","Madavan Park,JAYANAGARA 3RD BLOCK,OPPOSITE OF ORIENTAL INSUARENCE"
1E,"Madavan Park,JAYANAGARA 3RD BLOCK,OPPOSITE OF ORIENTAL INSUARENCE","Vijaya College,BASAVANAGUDI,OPPOSITE OF INFORMATICS"
1E,"Vijaya College,BASAVANAGUDI,OPPOSITE OF INFORMATICS","RV Teachers College,BASAVANAGUDI,BESIDE MEGA AGENSIS"
1E,"RV Teachers College,BASAVANAGUDI,BESIDE MEGA AGENSIS","Lalbagh West Gate,V.V.PURAM,BESIDE HDFC BANK"
1E,"Lalbagh West Gate,V.V.PURAM,BESIDE HDFC BANK","Minarva Circle,V.V.PURAM"
1E,"Minarva Circle,V.V.PURAM","Town Hall,OPPOSITE OF RANI CHANNAMMA STATUE"
1E,"Town Hall,OPPOSITE OF RANI CHANNAMMA STATUE","Corporation,CORPORATION,IN FRONT OF BANAPPA PARK"
1E,"Corporation,CORPORATION,IN FRONT OF BANAPPA PARK","Mysore Bank,VASANTHA NAGARA,BESIDE ALL INDIA COUNCIL FOR TECHNICAL"
1E,"Mysore Bank,VASANTHA NAGARA,BESIDE ALL INDIA COUNCIL FOR TECHNICAL","Telephone Exchange,VASANTHA NAGARA,BESIDE TELEPHONE EXCHANGE"
1E,"Telephone Exchange,VASANTHA NAGARA,BESIDE TELEPHONE EXCHANGE","RC College,VASANTHA NAGARA,BESIDE R.C.COLLEGE"
1E,"RC College,VASANTHA NAGARA,BESIDE R.C.COLLEGE","Shivananda Stores,VASANTHA NAGARA,BESIDE SEA ROCK RESTAURANT"
1E,"Shivananda Stores,VASANTHA NAGARA,BESIDE SEA ROCK RESTAURANT","Swastik,SHESHADRI PURAM,OPPOSITE OF SESHADRIPURAM POLICE STATION"
1E,"Swastik,SHESHADRI PURAM,OPPOSITE OF SESHADRIPURAM POLICE STATION","Central,SHESHADRI PURAM,OPPOSITE TO HOTEL GREEN ARCHID"
1E,"Central,SHESHADRI PURAM,OPPOSITE TO HOTEL GREEN ARCHID","Malleshwaram Circle,MALLESHWARAM,BESIDE R.R.GOLD PALACE"
1E,"Malleshwaram Circle,MALLESHWARAM,BESIDE R.R.GOLD PALACE","Malleshwaram 8th Cross,MALLESHWARAM,BESIDE FLOWER MARKET"
1E,"Malleshwaram 8th Cross,MALLESHWARAM,BESIDE FLOWER MARKET","Malleshwaram 15th Cross,MALLESHWARAM,BESIDE SAI MANDIR"
1E,"Malleshwaram 15th Cross,MALLESHWARAM,BESIDE SAI MANDIR","Malleshwaram 18th Cross,MALLESHWARAM,BESIDE KARNATAKA EXAMINATION AUTHORITY"
1E,"Malleshwaram 18th Cross,MALLESHWARAM,BESIDE KARNATAKA EXAMINATION AUTHORITY",Tata Institute
1E,Tata Institute,Yeshwanthpura
1E,Yeshwanthpura,"Yeshwanthpura Market,YESHAWANTHAPURA,IN FRONT OF SYNDICATE BANK ATM"
1E,"Yeshwanthpura Market,YESHAWANTHAPURA,IN FRONT OF SYNDICATE BANK ATM","Bombay Dyeing,YESHAWANTHAPURA,IN FRONT OF RAGHU MEDICALS"
1E,"Bombay Dyeing,YESHAWANTHAPURA,IN FRONT OF RAGHU MEDICALS","Mathikere Post Office,MATHIKERE,IN FRONT OF SAI INTERNATIONAL ELECTRONICS"
1E,"Mathikere Post Office,MATHIKERE,IN FRONT OF SAI INTERNATIONAL ELECTRONICS","Mathikere,MATHIKERE,IN FRONT OF VINAYAKA CONDIMENTS"
1E,"Mathikere,MATHIKERE,IN FRONT OF VINAYAKA CONDIMENTS","Chowdeshwari Bus Stand JP Park,MATHIKERE, CHOUDESHWARI BUS STOP,IN FRONT OF LOK ANAND APARTMENTS"
1F,"BTM Layout,BTM Layout 2nd Stage,Kuvempunagara Bus Stand","Udupi Garden 16th Main,BTM Layout,Opp Axis Bank"
1F,"Udupi Garden 16th Main,BTM Layout,Opp Axis Bank","BTM water Tank,BTM LAYOUT,OPPOSITE OF CORPORATION BANK"
1F,"BTM water Tank,BTM LAYOUT,OPPOSITE OF CORPORATION BANK","MICO Layout,BTM LAYOUT,IN FRONT OF METRIC STREAM"
