route_no,min,ss,start_time,roundoff
1,2,0.9310344828,07:35,3
100E,3,0.2692307692,08:05,3
104,3,0.5714285714,06:55,4
108,2,0.1428571429,07:00,2
10A,2,0.3529411765,07:40,2
111,2,0.2727272727,05:40,2
111A,1,0.3157894737,06:35,1
111C,2,0.5,05:10,2
111E,2,0.5,06:35,2
112,2,0.5,05:30,2
112A,2,0.5,06:50,2
113,2,0.7777777778,07:30,3
114,2,0.1428571429,06:30,2
114A,2,0.5,07:25,2
114B,2,0.5,05:15,2
114C,2,0.3529411765,05:15,2
114D,2,0.6666666667,07:35,3
114G,2,0.0454545455,06:35,2
119,4,0.2857142857,07:20,4
12,2,0.5,06:40,2
120,3,0.6666666667,08:45,4
121A,3,0.3333333333,07:45,3
125E,3,0.5714285714,07:20,4
126,4,0.1666666667,09:45,4
126A,2,0.6666666667,07:40,3
127,3,0.3333333333,06:15,3
129,4,,05:30,4
129C,37,0.5,06:55,37
12B,2,0.9411764706,05:30,3
12D,3,0.125,10:05,3
12E,9,0.2307692308,06:35,9
13,2,0.25,06:45,2
132,2,0.5,07:35,2
133E,1,0.7391304348,05:25,2
138,5,0.625,05:00,6
138A,5,0.625,07:30,6
139,2,0.9166666667,05:55,3
139A,2,0.2222222222,08:15,2
13A,2,0.2222222222,05:40,2
13B,2,0.5925925926,07:05,3
13C,2,0.2222222222,04:50,2
13D,2,,08:00,2
13E,2,0.0967741935,06:50,2
13F,2,0.1428571429,07:05,2
13G,1,0.7307692308,06:50,2
13H,2,0.1875,06:00,2
13K,0,0.5769230769,06:35,1
13S,1,0.9512195122,07:40,2
140,2,0.7272727273,06:45,3
140A,2,0.1875,06:40,2
140B,1,0.7857142857,07:25,2
140E,2,0.3333333333,06:00,2
141,3,0.125,06:35,3
141A,2,0.7272727273,06:40,3
141E,2,0.5,07:20,2
143,4,0.4444444444,06:10,4
143A,3,0.4615384615,07:35,3
143E,3,0.8888888889,07:25,4
144,4,0.1666666667,06:15,4
144A,4,0.2857142857,08:05,4
144E,4,0.2857142857,07:00,4
144G,2,0.8947368421,06:35,3
144K,2,0.8571428571,07:20,3
145,3,0.1818181818,06:25,3
146,3,0.0769230769,06:00,3
146B,2,0.5,07:00,2
