route_no,busstop,serial,serial_no,service,route_length,trips,ctime,time,min,hr
"600","BANASHANKARI TTMC","1","1","Non-AC","117 KM","16","2","5","20","5:20"
"600","Sangam Circle,JAYANAGARA 8TH BLOCK,BESIDE INDIAN TYRE CENTER","2","2","Non-AC","117 KM","16","2","5","20","5:22"
"600","Jayanagara 5th Block,JAYANAGARA 5TH BLOCK,BESIDE GRIHA VAIBHAVA FAMILY SHOP","3","3","Non-AC","117 KM","16","2","5","20","5:24"
"600","Marenahalli Petrol Bunk,PATTABHIRAMA NAGARA,BESIDE AKKA MAHADEVI PARK","4","4","Non-AC","117 KM","16","2","5","20","5:26"
"600","Ragigudda,JAYANAGARA 9TH BLOCK,BESIDE RAGHAVENDRA UPAHARA","5","5","Non-AC","117 KM","16","2","5","20","5:28"
"600","Jayadeva Hospital,JAYANAGARA 9TH BLOCK,HEALTHY INTERNATIONAL HOMEOPATHY","6","6","Non-AC","117 KM","16","2","5","20","5:30"
"600","MICO Layout,BTM LAYOUT 1ST STAGE","7","7","Non-AC","117 KM","16","2","5","20","5:32"
"600","BTM water Tank,BTM LAYOUT,IN FRONT OF CORPORATION BANK","8","8","Non-AC","117 KM","16","2","5","20","5:34"
"600","Udupi Garden 16th Main,BTM LAYOUT,BESIDE BANGLOR ONE CENTER","9","9","Non-AC","117 KM","16","2","5","20","5:36"
"600","BTM Layout Bus Stop,BTM LAYOUT 2ND STAGE,IN FROUNT OF KUVEMPUNAGRA BUS STAND","10","10","Non-AC","117 KM","16","2","5","20","5:38"
"600","Central Silk Board,BTM LAYOUT MADIWALA,OPPOSITE OF CENTRAL SILK BOARD","11","11","Non-AC","117 KM","16","2","5","20","5:40"
"600","Roopena Agrahar","12","12","Non-AC","117 KM","16","2","5","20","5:42"
"600","Bommanahalli","13","13","Non-AC","117 KM","16","2","5","20","5:44"
"600","Garvebhavi Palya","14","14","Non-AC","117 KM","16","2","5","20","5:46"
"600","Kudlu Gate","15","15","Non-AC","117 KM","16","2","5","20","5:48"
"600","Singasandra","16","16","Non-AC","117 KM","16","2","5","20","5:50"
"600","Hosa Road","17","17","Non-AC","117 KM","16","2","5","20","5:52"
"600","PESCollege","18","18","Non-AC","117 KM","16","2","5","20","5:54"
"600","Konnappana Agrahara,ELECTRONIC CITY POST,IN FRONT OF AXIS BANK","19","19","Non-AC","117 KM","16","2","5","20","5:56"
"600","Electronic City,ELECTRONIC CITY POST,OPPOSITE OF N.T.T.F. FOUNDATION","20","20","Non-AC","117 KM","16","2","5","20","5:58"
"600","Veerasandra Gate,ELECTRONIC CITY POST,IN FRONT OF SHANKAR INFRASTRUCTURE MATERIAL LIMITED","21","21","Non-AC","117 KM","16","2","5","20","5:60"
"600","Huskur Gate,ELECTRONIC CITY POST,BESIDE ESTATE GARDEN","22","22","Non-AC","117 KM","16","2","5","20","6:2"
"600","Hebbagodi","23","23","Non-AC","117 KM","16","2","5","20","6:4"
"600","Bommasandra,BOMMASANDRA,IN FRONT OF D-MAST MALL","24","24","Non-AC","117 KM","16","2","5","20","6:6"
"600","BTL College,BOMMASANDRA,OPPOSITE OF NARAYANA HRUDALAYA HOSPITAL","25","25","Non-AC","117 KM","16","2","5","20","6:8"
"600","Chandapura,CHANDAPURA,ANEKAL TALUKU,IN FRONT OF S.K. MEDICALS & GENERAL STORES","26","26","Non-AC","117 KM","16","2","5","20","6:10"
"600","Hennagra Gate,BOMMASANDRA,OPPOSITE OF UNION BANK ATM,GOWDRA COMPLEX","27","27","Non-AC","117 KM","16","2","5","20","6:12"
"600","Hale Chandapura,ATTIBELE HOBLI,ANEKAL TALUKU,IN FRONT OF SHAND PIPE INDUSTRY PVT.LTD.","28","28","Non-AC","117 KM","16","2","5","20","6:14"
"600","Thirumagondanahalli Cross,ATTIBELE HOBLI,ANEKAL TALUKU,OPPOSITE OF BAGAWAN SRI RAMANAMAHARISHI ASHRAM","29","29","Non-AC","117 KM","16","2","5","20","6:16"
"600","Neraluru Gate,ATTIBELE HOBLI,ANEKAL TALUKU,OPPOSITE OF NERALURU GRAMA PANCHAYAT OFFICE","30","30","Non-AC","117 KM","16","2","5","20","6:18"
"600","Guddatti Gate,NERALURU POST,OPPOSITE OF SHASHANK TOWERS","31","31","Non-AC","117 KM","16","2","5","20","6:20"
"600","Guest Line Hotel,ATTIBELE INDUSTRIAL AREA,IN FRONT OF SRI VEERANJANEYA SWAMI TEMPLE","32","32","Non-AC","117 KM","16","2","5","20","6:22"
"600","Yadavanahalli Gate,ATTIBELE HOBLI,IN FRONT OF SYNDICATE BANK","33","33","Non-AC","117 KM","16","2","5","20","6:24"
"600","Attibele,ANEKAL TALUKU,IN FRONT OF SRI RAGHAVA SAGARA HOTEL","34","34","Non-AC","117 KM","16","2","5","20","6:26"
"600","Jigala cross,ATTIBELE,OPPOSITE OF MAYURA BAKERY & SWEETS","35","35","Non-AC","117 KM","16","2","5","20","6:28"
"600","Indlubele,ATTIBELE HOBLI,OPPOSITE OF GOVT. JUNIOR PRIMARY SCHOOL","36","36","Non-AC","117 KM","16","2","5","20","6:30"
