route_no,BusStopCount,Route_length,Trips,Time,min
1,30,19.6 KM,12,01:25 Min.,85
100E,27,21.3 KM,3,01:25 Min.,85
104,8,5.9 KM,23,00:25 Min.,25
108,22,17.5 KM,8,00:45 Min.,45
10A,18,12.3 KM,3,00:40 Min.,40
111,23,19.7 KM,35,00:50 Min.,50
111A,20,10.8 KM,7,00:25 Min.,25
111C,21,11.7 KM,35,00:50 Min.,50
111E,27,16.6 KM,6,01:05 Min.,65
112,17,9.8 KM,45,00:40 Min.,40
112A,13,7.4 KM,12,00:30 Min.,30
113,10,9.8 KM,12,00:25 Min.,25
114,22,12.2 KM,31,00:45 Min.,45
114A,15,8.8 KM,8,00:35 Min.,35
114B,19,11.9 KM,16,00:45 Min.,45
114C,18,11.8 KM,48,00:40 Min.,40
114D,16,9.4 KM,17,00:40 Min.,40
114G,23,12.8 KM,10,00:45 Min.,45
119,8,4.9 KM,24,00:30 Min.,30
12,13,10.4 KM,30,00:30 Min.,30
120,16,12.8 KM,5,00:55 Min.,55
121A,13,10.9 KM,5,00:40 Min.,40
125E,8,4.9 KM,9,00:25 Min.,25
126,13,11.8 KM,4,00:50 Min.,50
126A,16,10.8 KM,11,00:40 Min.,40
127,10,6.5 KM,29,00:30 Min.,30
129,6,5.7 KM,12,00:20 Min.,20
129C,3,3.15 KM,5,01:15 Min.,75
12B,18,14 KM,37,00:50 Min.,50
12D,17,11.6 KM,5,00:50 Min.,50
12E,14,10.4 KM,8,02:00 Min.,120
13,21,11.7 KM,15,00:45 Min.,45
132,15,8.48 KM,12,00:35 Min.,35
133E,24,17.6 KM,2,00:40 Min.,40
138,17,13.1 KM,40,01:30 Min.,90
138A,17,14.5 KM,6,01:30 Min.,90
139,13,8.8 KM,38,00:35 Min.,35
139A,28,19.6 KM,1,01:00 Min.,60
13A,28,13.9 KM,10,01:00 Min.,60
13B,28,15.8 KM,16,01:10 Min.,70
13C,28,14.5 KM,17,01:00 Min.,60
13D,26,13 KM,5,00:50 Min.,50
13E,32,16.9 KM,7,01:05 Min.,65
13F,29,16.5 KM,5,01:00 Min.,60
13G,27,14.3 KM,7,00:45 Min.,45
13H,33,20.5 KM,11,01:10 Min.,70
13K,27,16.6 KM,6,00:15 Min.,15
13S,42,23.1 KM,3,01:20 Min.,80
140,12,7.1 KM,13,00:30 Min.,30
140A,17,9.4 KM,11,00:35 Min.,35
140B,15,8.5 KM,5,00:25 Min.,25
140E,16,8.5 KM,18,00:35 Min.,35
141,9,9.2 KM,25,00:25 Min.,25
141A,12,9.2 KM,8,00:30 Min.,30
141E,15,9.6 KM,30,00:35 Min.,35
143,10,7 KM,54,00:40 Min.,40
143A,14,10.2 KM,16,00:45 Min.,45
143E,10,7.8 KM,12,00:35 Min.,35
144,7,5.4 KM,40,00:25 Min.,25
144A,8,6.3 KM,7,00:30 Min.,30
144E,8,8 KM,45,00:30 Min.,30
144G,20,14.2 KM,11,00:55 Min.,55
144K,22,15.6 KM,12,01:00 Min.,60
