route_no,time,time_hr,time_min,min
298P,01:10 Min,1,10,70
298PB,01:15 Min,1,15,75
305V,01:30 Min,1,30,90
314N,00:40 Min,0,40,40
314P,00:35 Min,0,35,35
317D,01:20 Min,1,20,80
317J,01:45 Min,1,45,105
317K,01:30 Min,1,30,90
342G,01:25 Min,1,25,85
342W,01:30 Min,1,30,90
346P,01:10 Min,1,10,70
347K,01:00 Min,1,0,60
349A,01:25 Min,1,25,85
349B,01:15 Min,1,15,75
349C,01:20 Min,1,20,80
13K,00:15 Min,0,15,15
54E,00:15 Min,0,15,15
55B,00:20 Min,0,20,20
129,00:20 Min,0,20,20
78A,00:25 Min,0,25,25
79B,00:25 Min,0,25,25
104,00:25 Min,0,25,25
111A,00:25 Min,0,25,25
113,00:25 Min,0,25,25
125E,00:25 Min,0,25,25
140B,00:25 Min,0,25,25
141,00:25 Min,0,25,25
144,00:25 Min,0,25,25
155A,00:25 Min,0,25,25
287A,00:25 Min,0,25,25
356CW,00:25 Min,0,25,25
366QA,00:25 Min,0,25,25
BC-7C,00:30 Min,0,30,30
12,00:30 Min,0,30,30
49,00:30 Min,0,30,30
59B,00:30 Min,0,30,30
79A,00:30 Min,0,30,30
79J,00:30 Min,0,30,30
82B,00:30 Min,0,30,30
83,00:30 Min,0,30,30
83C,00:30 Min,0,30,30
84,00:30 Min,0,30,30
86,00:30 Min,0,30,30
87C,00:30 Min,0,30,30
88,00:30 Min,0,30,30
88A,00:30 Min,0,30,30
89A,00:30 Min,0,30,30
89B,00:30 Min,0,30,30
PK-89A,00:30 Min,0,30,30
96B,00:30 Min,0,30,30
96H,00:30 Min,0,30,30
112A,00:30 Min,0,30,30
119,00:30 Min,0,30,30
127,00:30 Min,0,30,30
140,00:30 Min,0,30,30
141A,00:30 Min,0,30,30
144A,00:30 Min,0,30,30
144E,00:30 Min,0,30,30
201C,00:30 Min,0,30,30
210CD,00:30 Min,0,30,30
215AB,00:30 Min,0,30,30
215BB,00:30 Min,0,30,30
215CB,00:30 Min,0,30,30
215MA,00:30 Min,0,30,30
245TC,00:30 Min,0,30,30
263R,00:30 Min,0,30,30
278,00:30 Min,0,30,30
279K,00:30 Min,0,30,30
281K,00:30 Min,0,30,30
287N,00:30 Min,0,30,30
289A,00:30 Min,0,30,30
296Q,00:30 Min,0,30,30
300,00:30 Min,0,30,30
311K,00:30 Min,0,30,30
320J,00:30 Min,0,30,30
356ZA,00:30 Min,0,30,30
NLMF-1,00:35 Min,0,35,35
BC-7,00:35 Min,0,35,35
BC-7B,00:35 Min,0,35,35
BC-7E,00:35 Min,0,35,35
BC-8,00:35 Min,0,35,35
BC-8A,00:35 Min,0,35,35
MP-10,00:35 Min,0,35,35
21,00:35 Min,0,35,35
22,00:35 Min,0,35,35
24N,00:35 Min,0,35,35
26,00:35 Min,0,35,35
35,00:35 Min,0,35,35
37D,00:35 Min,0,35,35
43G,00:35 Min,0,35,35
49A,00:35 Min,0,35,35
56,00:35 Min,0,35,35
59F,00:35 Min,0,35,35
61B,00:35 Min,0,35,35
61C,00:35 Min,0,35,35
61F,00:35 Min,0,35,35
61G,00:35 Min,0,35,35
80,00:35 Min,0,35,35
82AR,00:35 Min,0,35,35
87,00:35 Min,0,35,35
87A,00:35 Min,0,35,35
87B,00:35 Min,0,35,35
89C,00:35 Min,0,35,35
89D,00:35 Min,0,35,35
89E,00:35 Min,0,35,35
89F,00:35 Min,0,35,35
94D,00:35 Min,0,35,35
114A,00:35 Min,0,35,35
132,00:35 Min,0,35,35
139,00:35 Min,0,35,35
140A,00:35 Min,0,35,35
140E,00:35 Min,0,35,35
141E,00:35 Min,0,35,35
143E,00:35 Min,0,35,35
145,00:35 Min,0,35,35
155,00:35 Min,0,35,35
165E,00:35 Min,0,35,35
238A,00:35 Min,0,35,35
263P,00:35 Min,0,35,35
278K,00:35 Min,0,35,35
287P,00:35 Min,0,35,35
290C,00:35 Min,0,35,35
290H,00:35 Min,0,35,35
290K,00:35 Min,0,35,35
291G,00:35 Min,0,35,35
296D,00:35 Min,0,35,35
302,00:35 Min,0,35,35
374,00:35 Min,0,35,35
415C,00:35 Min,0,35,35
501KS,00:35 Min,0,35,35
2D,00:40 Min,0,40,40
BC-4A,00:40 Min,0,40,40
BC-6,00:40 Min,0,40,40
7E,00:40 Min,0,40,40
MF-9,00:40 Min,0,40,40
10A,00:40 Min,0,40,40
15F,00:40 Min,0,40,40
15K,00:40 Min,0,40,40
24A,00:40 Min,0,40,40
24F,00:40 Min,0,40,40
24H,00:40 Min,0,40,40
25C,00:40 Min,0,40,40
31B,00:40 Min,0,40,40
34A,00:40 Min,0,40,40
36,00:40 Min,0,40,40
37,00:40 Min,0,40,40
37A,00:40 Min,0,40,40
45,00:40 Min,0,40,40
61J,00:40 Min,0,40,40
61M,00:40 Min,0,40,40
75C,00:40 Min,0,40,40
80B,00:40 Min,0,40,40
80D,00:40 Min,0,40,40
80H,00:40 Min,0,40,40
80K,00:40 Min,0,40,40
80L,00:40 Min,0,40,40
80R,00:40 Min,0,40,40
83D,00:40 Min,0,40,40
88E,00:40 Min,0,40,40
89,00:40 Min,0,40,40
90E,00:40 Min,0,40,40
96C,00:40 Min,0,40,40
96G,00:40 Min,0,40,40
99A,00:40 Min,0,40,40
112,00:40 Min,0,40,40
114C,00:40 Min,0,40,40
114D,00:40 Min,0,40,40
121A,00:40 Min,0,40,40
126A,00:40 Min,0,40,40
133E,00:40 Min,0,40,40
143,00:40 Min,0,40,40
146,00:40 Min,0,40,40
146E,00:40 Min,0,40,40
152,00:40 Min,0,40,40
161B,00:40 Min,0,40,40
163A,00:40 Min,0,40,40
166,00:40 Min,0,40,40
168A,00:40 Min,0,40,40
168D,00:40 Min,0,40,40
173A,00:40 Min,0,40,40
215P,00:40 Min,0,40,40
223N,00:40 Min,0,40,40
238C,00:40 Min,0,40,40
238VR,00:40 Min,0,40,40
241D,00:40 Min,0,40,40
250AC,00:40 Min,0,40,40
270C,00:40 Min,0,40,40
271K,00:40 Min,0,40,40
273H,00:40 Min,0,40,40
276C,00:40 Min,0,40,40
276P,00:40 Min,0,40,40
277,00:40 Min,0,40,40
278A,00:40 Min,0,40,40
279E,00:40 Min,0,40,40
284C,00:40 Min,0,40,40
287B,00:40 Min,0,40,40
287C,00:40 Min,0,40,40
287F,00:40 Min,0,40,40
287Q,00:40 Min,0,40,40
287R,00:40 Min,0,40,40
287RA,00:40 Min,0,40,40
290L,00:40 Min,0,40,40
300L,00:40 Min,0,40,40
302M,00:40 Min,0,40,40
303F,00:40 Min,0,40,40
327K,00:40 Min,0,40,40
329M,00:40 Min,0,40,40
369Q,00:40 Min,0,40,40
374N,00:40 Min,0,40,40
