busstop,trips
"Anantapura,YELAHANKA,OPPOSITE OF ASHWATHA KATTE","2"
"Avarehalli,AVERAHALLI,IN FRONT OF GOVERNMENT SCHOOL","2"
"Belathuru","2"
"Bidaluru","2"
"Billa Kempanahalli,BILLA KEMPANAHALLI,IN FRONT OF GOVERNMENT PRIMARY SCHOOL","2"
"Bittasandra,BITTASANDRA,BESIDE OPEN AREA","2"
"Bittasandra,BITTASANDRA,IN FRONT OF FLOUR MILL","2"
"Chapparakallu","2"
"Chikkanahalli,CHIKKANAHALLI,BESIDE GOVT SCHOOL","2"
"Daba Gate,DEVANAHALLI,IN FRONT OF RAILWAY TRACK","2"
"Dinnepalya,BESIDE OPEN AREA","2"
"Dyavarahalli,OPPOSITE OF ALADAMARA","2"
"Government Sub-Urban Press","2"
"HAL Market","2"
"HP Cron Palza","2"
"Hemapura,HEMAPURA,IN FRONT OF GANESHA TEMPLE","2"
"Hunasemara Nelamangala,NELAMANGALA,IN FRONT OF NIMISHA BAKERY","2"
"Ittuguru,ITTANGURU,OPPOSITE OF  GOVT.SCHOOL ITTANGURU","2"
"Jn of NH-7,DEVANAHALLI,IN FRONT OF TALUKU OFFICE","2"
"Jn of Suranjandas Road","2"
"Kamenahalli,OPPOSITE OF MADDURAMA TEMPLE","2"
"Kannamangala,OPPOSITE OF MARAGADAMMA TEMPLE","2"
"Kathruguppe,IN FRONT OF ASWATHA  KATTE","2"
"Kenjiganahalli,Near Byranayakanahalli Railway station","2"
"Koyira Devana Halli Road","2"
"Kuppemala,KUPPEMALA,IN FRONT OF GAJENDRA STORE","2"
"Kurudu Sonnenahalli","2"
"Machanayakanahalli,MACHONAYAKANAHALLI,IN FRONT OF GOVT. PRIMARY SCHOOL","2"
"Mallara Banavadi,MALLARABANAWADI,IN FRONT OF ARALI KATTE","2"
"Malleshwaram 15th cross,MALLESHWARAM,BESIDE SHANTHINIKETHANA LADIES HOSTEL","2"
"Muthanallur Circle,MUTHANALLURU-ANEKAL TALUK,NEAR ANNAPOORNESHWARI BAKERY","2"
"Muthurayapura,MUTHURAYANPURA,IN FRONT OF GOVERNMENT PRIMARY SCHOOL","2"
"Mylanahalli Chikka jala,IN FRONT OF GOVERNMENT SCHOOL","2"
"NAGNATHA PURA","2"
"Nagenahalli,Near Byranayakanahalli Railway station","2"
"Narayana Rao Palya,IN FRONT OF OVER HEAD TANK","2"
"Obalapura,IN FRONT OF NILAGIRI THOPU","2"
"Papabhovipalya Cross,VEERANANJIPURA,BESIDE OPEN AREA","2"
"Papabhovipalya,PAPABOVIPALYA,OPPOSITE OF LAKSHMINARAYANA TEMPLE","2"
"Poojenahalli,OPPOSITE OF ANJANEYA TEMPLE","2"
"Puttenahalli Jp nagar","2"
"Railway Gollahalli,GOLLAHALLI,BESIDE GOVERNMENT PRIMARY SCHOOL","2"
"Ramagondanahalli,YELAHANKA,OPPOSITE OF ADISHAKTHI TEMPLE","2"
"Rangenahalli,RANGENAHALLI,IN FRONT OF GOVT. PRIMARY SCHOOL","2"
"Renuka Nagar,NELAMANGALA,IN FRONT OF VENKATESHWARA PROVISION STORE","2"
"Sanne Gate,DEVANAHALLI,IN FRONT OF RAILWAY TRACK","2"
"Shanimahatma Temple","2"
"Subbaiah Circle,DEVERA BISANAHALLI,IN FRONT OF MUTHOOT FINANCE","2"
"Uddichikanahalli,Nelamangala","2"
"Vaderahalli,VADERAHALLI,IN FRONT OF BASAVANNA TEMPLE","2"
"Vahale Varadahalli,VARADAHALLI,IN FRONT OF WATER TANK","2"
"Veeranjanapura,VEERANANJIPURA,IN FRONT OF GANGASANDRAMMA TEMPLE","2"
"Vishwanathapura,IN FRONT OF POLICE STATION","2"
"Vivekanagar Cross","2"
"Yennigere,YENNIGERE,IN FRONT OF POST OFFICE","2"
"18th Cross Srirampura,AMRUTHAHALLI,IN FRONT OF OPEN AREA","4"
"Ado Sonnahatti","4"
"Anjaneya Temple Gate","4"
"Ankana Halli,IN FRONT OF KIRAN PROVISION STORE","4"
"Annahalli,ANNAHALLI,IN FRONT OF GOVT. HIGH SCHOOL & COLLEGE","4"
"Annekarana Halli,ATHIMGERE,IN FRONT OF GOVERNMENT PRIMARY SCHOOL","4"
