Route_no,Depots,BusCount
1,,
1E,8,2
AS-1,"21,4,33",3
BVK-1,26,2
ELC-FDR-1,32,2
FDR-1,33,3
HAL-FDR-1,,
K-1,"4,6,8,26",10
KBS-1I,"6 , 39, 41",30
KBS-1K,,
MF-1,,
NLMF-1,,
SBS-1K,,
VSP-FDR-1,,
2,,
2A,,
2D,,
2E,,
FDR-2,,
G-2,,
G-2A,,
K-2,,
MBS-2,,
PK-2,,
TR-2,,
3B,,
3E,,
BC-3A,,
BIGBLUE-3,,
CHAKRA-3,,
CHAKRA-3A,,
CS-3,,
CS-3B,,
CS-3C,,
G-3,,
G-3A,,
JPV-3,,
K-3,,
KBS-3A,,
KBS-3C,,
KBS-3E,,
TR-3,,
4,,
BC-4A,,
CHAKRA-4,,
CHAKRA-4A,,
G-4,,
HS-4,,
K-4,,
MF-4,,
TR-4,,
TR-4A,,
CS-5,,
JPV-5,,
K-5,,
KBS-5H,,
MF-5,,
MKT-5H,,
AS-6,,
BC-6,,
CHAKRA-6,,
CHAKRA-6A,,
CS-6,,
D-6,,
G-6,,
G-6A,,
K-6,,
MBS-6,,
MF-6,,
TR-6,,
7D,,
7F,,
7H,,
BC-7,,
BC-7B,,
CS-7,,
FDR-7,,
G-7,,
TR-7,,
BC-8A,,
CHAKRA-8,,
CHAKRA-8A,,
G-8,,
JPV-8,,
MBS-8,,
PK-8,,
AS-9,,
BC-9,,
BC-9B,,
CHAKRA-9,,
FDR-9,,
G-9,,
G-9A,,
KBS-9DH,,
MBS-9,,
10A,,
10J,,
Chakra-10,,
Chakra-10A,,
FDR-10,,
G-10,,
JPV-10,,
TR-10,,
FDR-11,,
FDR-11A,,
G-11,,
MBS-11,,
12,,
12B,,
12D,,
12E,,
12F,,
G-12,,
KBS-12HK,,
MKT-12HK,,
TR-12,,
TR-12A,,
13,,
13A,,
13B,,
13C,,
13D,,
13E,,
13F,,
13G,,
13H,,
13J,,
13K,,
13S,,
CS-13E,,
KBS-13K,,
PK-13E,,
SBS-13K,,
AS-14,,
MBS-14,,
PK-14,,
15A,,
15C,,
15E,,
15F,,
15G,,
15K,,
AS-15,,
