busstop,lat,long,to_lat,to_long
BANASHANKARI TTMC,12.9175629124,77.5734471159,12.9176249821,77.5773779489
"Sangam Circle,JAYANAGARA 8TH BLOCK,BESIDE INDIAN TYRE CENTER",12.9176249821,77.5773779489,12.9171593674,77.5833687466
"Jayanagara 5th Block,JAYANAGARA 5TH BLOCK,BESIDE GRIHA VAIBHAVA FAMILY SHOP",12.9171593674,77.5833687466,12.9170410149,77.5886585657
"Marenahalli Petrol Bunk,PATTABHIRAMA NAGARA,BESIDE AKKA MAHADEVI PARK",12.9170410149,77.5886585657,12.9168999955,77.5931451943
"Ragigudda,JAYANAGARA 9TH BLOCK,BESIDE RAGHAVENDRA UPAHARA",12.9168999955,77.5931451943,12.9168577865,77.5974690355
"Jayadeva Hospital,JAYANAGARA 9TH BLOCK,HEALTHY INTERNATIONAL HOMEOPATHY",12.9168577865,77.5974690355,12.9166977747,77.6034667829
"MICO Layout,BTM LAYOUT 1ST STAGE",12.9166977747,77.6034667829,12.9167048167,77.6067416836
"BTM water Tank,BTM LAYOUT,IN FRONT OF CORPORATION BANK",12.9167048167,77.6067416836,12.9166423284,77.6090389222
"Udupi Garden 16th Main,BTM LAYOUT,BESIDE BANGLOR ONE CENTER",12.9166423284,77.6090389222,12.9163629189,77.615990527
"BTM Layout Bus Stop,BTM LAYOUT 2ND STAGE,IN FROUNT OF KUVEMPUNAGRA BUS STAND",12.9163629189,77.615990527,12.9170802963,77.6217106411
"Central Silk Board,BTM LAYOUT MADIWALA,OPPOSITE OF CENTRAL SILK BOARD",12.9170802963,77.6217106411,12.91189777,77.62612268
Roopena Agrahar,12.91189777,77.62612268,12.90534806,77.63018404
Bommanahalli,12.90534806,77.63018404,12.89627974,77.63574793
Garvebhavi Palya,12.89627974,77.63574793,12.889887,77.6396839
Kudlu Gate,12.889887,77.6396839,12.87873262,77.64657216
Singasandra,12.87873262,77.64657216,12.87069872,77.65292842
Hosa Road,12.87069872,77.65292842,12.85872647,77.6624131
PESCollege,12.85872647,77.6624131,12.8541179001,77.6661175769
"Konnappana Agrahara,ELECTRONIC CITY POST,IN FRONT OF AXIS BANK",12.8541179001,77.6661175769,12.848213017,77.6707657613
"Electronic City,ELECTRONIC CITY POST,OPPOSITE OF N.T.T.F. FOUNDATION",12.848213017,77.6707657613,12.8397195182,77.6773380844
"Veerasandra Gate,ELECTRONIC CITY POST,IN FRONT OF SHANKAR INFRASTRUCTURE MATERIAL LIMITED",12.8397195182,77.6773380844,12.8372718786,77.6789832218
"Huskur Gate,ELECTRONIC CITY POST,BESIDE ESTATE GARDEN",12.8372718786,77.6789832218,12.82577,77.6831
Hebbagodi,12.82577,77.6831,12.8183296805,77.6898556447
"Bommasandra,BOMMASANDRA,IN FRONT OF D-MAST MALL",12.8183296805,77.6898556447,12.8108153103,77.6957207283
"BTL College,BOMMASANDRA,OPPOSITE OF NARAYANA HRUDALAYA HOSPITAL",12.8108153103,77.6957207283,12.8026773209,77.7044280222
"Chandapura,CHANDAPURA,ANEKAL TALUKU,IN FRONT OF S.K. MEDICALS & GENERAL STORES",12.8026773209,77.7044280222,12.8071208764,77.6987066951
"Hennagra Gate,BOMMASANDRA,OPPOSITE OF UNION BANK ATM,GOWDRA COMPLEX",12.8071208764,77.6987066951,12.8001769921,77.714856463
"Hale Chandapura,ATTIBELE HOBLI,ANEKAL TALUKU,IN FRONT OF SHAND PIPE INDUSTRY PVT.LTD.",12.8001769921,77.714856463,12.794054555,77.7220406685
"Thirumagondanahalli Cross,ATTIBELE HOBLI,ANEKAL TALUKU,OPPOSITE OF BAGAWAN SRI RAMANAMAHARISHI ASHRAM",12.794054555,77.7220406685,12.7918675029,77.7303144774
"Neraluru Gate,ATTIBELE HOBLI,ANEKAL TALUKU,OPPOSITE OF NERALURU GRAMA PANCHAYAT OFFICE",12.7918675029,77.7303144774,12.7882287678,77.7370677123
"Guddatti Gate,NERALURU POST,OPPOSITE OF SHASHANK TOWERS",12.7882287678,77.7370677123,12.7867914053,77.7420577022
"Guest Line Hotel,ATTIBELE INDUSTRIAL AREA,IN FRONT OF SRI VEERANJANEYA SWAMI TEMPLE",12.7867914053,77.7420577022,12.7857056572,77.7506707016
"Yadavanahalli Gate,ATTIBELE HOBLI,IN FRONT OF SYNDICATE BANK",12.7857056572,77.7506707016,12.7796878887,77.7705791813
"Attibele,ANEKAL TALUKU,IN FRONT OF SRI RAGHAVA SAGARA HOTEL",12.7796878887,77.7705791813,12.7819303289,77.771816775
"Jigala cross,ATTIBELE,OPPOSITE OF MAYURA BAKERY & SWEETS",12.7819303289,77.771816775,12.7911334135,77.7763035897
"Indlubele,ATTIBELE HOBLI,OPPOSITE OF GOVT. JUNIOR PRIMARY SCHOOL",12.7911334135,77.7763035897,12.8061642374,77.7835420972
"Bidaraguppa,BIDARAGUPPE,ATTIBELE HOBLI,OPPOSITE OF GOVT.PRIMARY SCHOOL",12.8061642374,77.7835420972,12.8155576035,77.7852277161
"Silk Form,MEDAHALLI,BIRAGUPPE POST,IN FRONT OF SRINIVAS INDUSTRIES",12.8155576035,77.7852277161,12.8235531283,77.7860399371
"Medahalli,SARJAPURA HOBLI,OPPOSITE OF MILK PRODUCT CO-OPERATIVE SOCIETY",12.8235531283,77.7860399371,12.8276142697,77.786265669
"Tyavakanahalli,SARJAPURA HOBLI,NEAR S.V.S. PROVISION STORE",12.8276142697,77.786265669,12.835034839,77.7852959955
"Exide Factory,BILLAPURA, SARJAPURA HOBLI,OPPOSITE OF SHRI BASAVANNA TEMPLE",12.835034839,77.7852959955,12.8374378029,77.7849760558
"Billapura,SARJAPURA, HOBLI,OPPOSITE OF GOVT. PRIMARY SCHOOL",12.8374378029,77.7849760558,12.8421337699,77.783731358
boorugunte,12.8421337699,77.783731358,12.844432526,77.7830958939
